api_unii,smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolMR,LabuteASA,BalabanJ,BertzCT,HallKierAlpha,NumSaturatedRings,NumHeteroatoms,NHOHCount
OYN3CCI6QE,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@@H](C(=O)O)NC(=O)CCCCCCCCCCCCCCCCCCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N4CCC[C@H]4C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N5CCC[C@H]5C(=O)N6CCC[C@H]6C(=O)N7CCC[C@H]7C(=O)N[C@@H](CO)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CC=C(C=C8)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC9=CC=CC=C9)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC1=CC=C(C=C1)O)N,4813.526999999987,-12.097500000000323,1789.629999999999,58.0,65.0,163.0,6.0,4.0,10.0,0.6355555555555555,341.0,1896.0,1223.0035000000062,1974.2442179548736,0.7900706759112347,12554.434118419716,-31.77999999999992,4.0,116.0,63.0
NNU2O4609D,C=C1[C@H](CO)[C@H](C[C@@H]1n2cnc3c2nc(N)[nH]c3=O)O,277.284,-0.8278000000000001,130.04999999999998,4.0,6.0,2.0,2.0,1.0,3.0,0.4166666666666667,20.0,106.0,71.9377,113.1401844181926,2.121483180423448,707.2038046824437,-2.19,1.0,8.0,5.0
IA7306519N,C1[C@H]([C@]2([H])[C@@]([H])([C@H](CO2)O[N+](=O)[O-])O1)O[N+](=O)[O-],236.136,-1.0621999999999998,123.20000000000002,0.0,8.0,4.0,0.0,2.0,2.0,1.0,16.0,90.0,43.214800000000025,88.22050865473719,1.948118235012669,256.4134357365111,-1.68,2.0,10.0,0.0
KVI301NA53,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],261.119,-2.424499999999997,33.42,0.0,2.0,1.0,1.0,0.0,1.0,0.3333333333333333,14.0,78.0,47.32900000000003,93.86839415682672,1.689999454975181e-06,294.6615494596119,-1.1,0.0,5.0,0.0
7SFC6U2VI5,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)CC(C)C)CC(=O)N)CO)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N5CCC[C@H]5C(=O)N)O,3431.908999999989,-21.52893000000023,1508.2099999999994,52.0,54.0,98.0,2.0,3.0,5.0,0.6758620689655173,239.0,1340.0,850.0568000000045,1384.6509110587565,1.3690686719025864,8005.101648963354,-21.88999999999997,3.0,94.0,61.0
4975G9NM6T,CCN(CC)C(=O)/C(=C/c1cc(c(c(c1)O)O)[N+](=O)[O-])/C#N,305.2900000000001,1.7813799999999995,127.70000000000002,2.0,6.0,5.0,1.0,0.0,1.0,0.2857142857142857,22.0,116.0,77.94400000000002,126.21671568109323,3.330991051120794,643.3512630623127,-3.0800000000000005,0.0,8.0,2.0
3L36P16U4R,Cc1c(C[S+](c2nc3ccccc3[n-]2)[O-])nccc1OCCCOC.[Na+],381.4330000000003,-0.3774799999999989,81.4,0.0,5.0,8.0,3.0,0.0,3.0,0.3333333333333333,26.0,132.0,96.13740000000004,177.7431520238917,2.429997293853168e-06,772.771304175532,-1.09,0.0,8.0,0.0
BGF9MN2HU1,CC(C)(C(=O)O)Oc1ccc(cc1)C(=O)c2ccc(cc2)Cl,318.756,3.8130000000000015,63.6,1.0,3.0,5.0,2.0,0.0,2.0,0.1764705882352941,22.0,114.0,83.66930000000005,132.84729730621618,2.164915984221252,666.9831792819194,-2.329999999999999,0.0,5.0,1.0
6T84R30KC1,C1C[C@@H](CC[C@H]1CN)C(=O)O,157.21300000000002,0.8361000000000001,63.32000000000001,2.0,2.0,2.0,0.0,1.0,1.0,0.875,11.0,64.0,42.1382,66.58366122432905,2.297820229194632,126.97373660251156,-0.5700000000000001,1.0,3.0,3.0
CHB1QD2QSS,CN1c2ccc(cc2C(=NC(C1=O)O)c3ccccc3)Cl,300.745,2.472200000000001,52.900000000000006,1.0,3.0,1.0,2.0,1.0,3.0,0.125,21.0,106.0,82.94980000000002,126.85661286480315,2.2716729569381777,704.0730989192235,-2.1699999999999995,0.0,5.0,1.0
